 Structure from AMCSD, AMS_ID: 11157            Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.1611    2.8630   -0.26592 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.9616   -0.0000   -1.9616  1  78 Pt
     1.9616    1.9616   -0.0000  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  9.500  8.5062E+00  2.6121E-03 -2.4526E+01  9.590E-01  1.0611E+01  9.6136E+00
 10.000  8.3169E+00  3.4048E-03 -2.5233E+01  9.509E-01  1.1332E+01  1.0105E+01
 11.000  7.9551E+00  6.8237E-03 -2.5816E+01  9.400E-01  1.2824E+01  1.1092E+01
 12.000  7.6147E+00  8.6757E-03 -2.6039E+01  9.333E-01  1.4374E+01  1.2081E+01
 13.000  7.2942E+00  9.5100E-03 -2.6177E+01  9.290E-01  1.5978E+01  1.3072E+01
 14.000  6.9931E+00  9.2258E-03 -2.6341E+01  9.270E-01  1.7632E+01  1.4065E+01
 15.000  6.7092E+00  8.2716E-03 -2.6451E+01  9.257E-01  1.9330E+01  1.5060E+01
 16.000  6.4424E+00  7.2647E-03 -2.6613E+01  9.251E-01  2.1070E+01  1.6055E+01
 17.000  6.1899E+00  5.6626E-03 -2.6783E+01  9.236E-01  2.2848E+01  1.7051E+01
 18.000  5.9504E+00  4.0421E-03 -2.6872E+01  9.221E-01  2.4663E+01  1.8047E+01
 19.000  5.7210E+00  2.9222E-03 -2.6813E+01  9.213E-01  2.6512E+01  1.9044E+01
 20.000  5.5025E+00  2.4987E-03 -2.6732E+01  9.212E-01  2.8393E+01  2.0041E+01
