# Structure from AMCSD, AMS_ID: 11157          Feff8L (EXAFS)       0.1
# Mineral Name: Platinum
# Journal: Crystal Structures 1, pp. 7-83 (1963)
# Authors: Wyckoff R W G
# Title1:  Second edition. Interscience Publishers, New York, New York
# Title2:  Cubic closest packed, ccp, structure
# Formula:    Pt
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7741
#           2       0.00000     25.11      6.00     2   3.9231
#           3       0.00000     14.85     48.00     3   4.1611
#           4       0.00000      5.82     48.00     3   4.7356
#           5       0.00000     60.00     24.00     2   4.8048
#           6       0.00000     10.35     48.00     3   5.1764
#           7       0.00000     32.15     96.00     3   5.1764
#           8       0.00000     19.97     12.00     2   5.5481
#           9       0.00000      8.20     12.00     3   5.5481
#          10       0.00000     86.27     24.00     3   5.5481
#          11       0.00000     14.99     12.00     4   5.5481
#          13       0.00000      4.82     48.00     4   5.5481
#          14       0.00000     97.24     12.00     4   5.5481
#          15       0.00000      5.06     48.00     4   5.5481
#          16       0.00000      9.79     48.00     4   5.5481
#          19       0.00000     28.51     24.00     2   6.2030
#          20       0.00000      4.54     48.00     3   6.4501
#          21       0.00000      9.56     48.00     3   6.4501
#          22       0.00000     11.38     48.00     3   6.4501
#          23       0.00000      4.04     96.00     3   6.5635
#          24       0.00000      8.96     96.00     4   6.5635
#          25       0.00000      5.80     96.00     4   6.5635
#          28       0.00000      7.12      8.00     2   6.7950
#    23/  25 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     8.2500   -2.478655E-03  5.219822E-02  2.832184E+01
     8.3000   -1.906537E-02  4.968672E-02  2.866815E+01
     8.3500   -3.130404E-02  4.645472E-02  2.901376E+01
     8.4000   -3.756286E-02  4.254089E-02  2.935651E+01
     8.4500   -3.757069E-02  3.800858E-02  2.969319E+01
     8.5000   -3.245724E-02  3.295112E-02  3.001848E+01
     8.5500   -2.435519E-02  2.750692E-02  3.032853E+01
     8.6000   -1.598415E-02  2.189381E-02  3.059749E+01
     8.6500   -9.775932E-03  1.651412E-02  3.078242E+01
     8.7000   -7.128575E-03  1.226910E-02  3.079595E+01
     8.7500   -8.006390E-03  1.096349E-02  3.059720E+01
     8.8000   -1.098001E-02  1.349066E-02  3.046510E+01
     8.8500   -1.370626E-02  1.813635E-02  3.055915E+01
     8.9000   -1.371071E-02  2.339274E-02  3.078968E+01
     8.9500   -9.236198E-03  2.859205E-02  3.108699E+01
     9.0000    1.072441E-04  3.341397E-02  3.141914E+01
     9.0500    1.343742E-02  3.779014E-02  3.177946E+01
     9.1000    2.783636E-02  4.147964E-02  3.215160E+01
     9.1500    3.986443E-02  4.438968E-02  3.253126E+01
     9.2000    4.634117E-02  4.645796E-02  3.291580E+01
     9.2500    4.527943E-02  4.764975E-02  3.330346E+01
     9.3000    3.648494E-02  4.795632E-02  3.369298E+01
     9.3500    2.163949E-02  4.739366E-02  3.408336E+01
     9.4000    3.848260E-03  4.600086E-02  3.447377E+01
     9.4500   -1.320232E-02  4.383794E-02  3.486343E+01
     9.5000   -2.621579E-02  4.098312E-02  3.525159E+01
     9.5500   -3.326833E-02  3.763135E-02  3.564200E+01
     9.6000   -3.355671E-02  3.372261E-02  3.602908E+01
     9.6500   -2.819495E-02  2.936394E-02  3.641143E+01
     9.7000   -1.951063E-02  2.466861E-02  3.678682E+01
     9.7500   -1.028885E-02  1.975277E-02  3.715123E+01
     9.8000   -2.974802E-03  1.473456E-02  3.749582E+01
     9.8500    9.333872E-04  9.744079E-03  3.779505E+01
     9.9000    1.154558E-03  5.014255E-03  3.793145E+01
     9.9500   -1.470332E-03  2.373294E-03  3.703097E+01
    10.0000   -5.355007E-03  5.635685E-03  3.644525E+01
    10.0500   -8.916464E-03  1.010573E-02  3.661835E+01
    10.1000   -1.031461E-02  1.454469E-02  3.691080E+01
    10.1500   -8.421211E-03  1.882802E-02  3.723540E+01
    10.2000   -2.904145E-03  2.292549E-02  3.757209E+01
    10.2500    5.727890E-03  2.682972E-02  3.791426E+01
    10.3000    1.623054E-02  3.053998E-02  3.825943E+01
    10.3500    2.683607E-02  3.405402E-02  3.860674E+01
    10.4000    3.553706E-02  3.736247E-02  3.895603E+01
    10.4500    4.041667E-02  4.044513E-02  3.930743E+01
    10.5000    4.000030E-02  4.326926E-02  3.966111E+01
    10.5500    3.358754E-02  4.578987E-02  4.001723E+01
    10.6000    2.149928E-02  4.795189E-02  4.037578E+01
    10.6500    5.161383E-03  4.969380E-02  4.073665E+01
    10.7000   -1.304090E-02  5.095223E-02  4.109953E+01
    10.7500   -3.015610E-02  5.166713E-02  4.146393E+01
    10.8000   -4.325283E-02  5.178690E-02  4.182922E+01
    10.8500   -5.007099E-02  5.127335E-02  4.219451E+01
    10.9000   -4.956408E-02  5.010611E-02  4.255872E+01
    10.9500   -4.216677E-02  4.828656E-02  4.292044E+01
    11.0000   -2.968833E-02  4.584126E-02  4.327782E+01
    11.0500   -1.498107E-02  4.293041E-02  4.362583E+01
    11.1000   -7.337550E-04  3.944866E-02  4.396370E+01
    11.1500    1.062377E-02  3.552068E-02  4.428603E+01
    11.2000    1.775608E-02  3.132899E-02  4.458487E+01
    11.2500    2.067458E-02  2.713669E-02  4.484849E+01
    11.3000    2.055933E-02  2.332240E-02  4.506138E+01
    11.3500    1.921695E-02  2.040589E-02  4.521005E+01
    11.4000    1.836631E-02  1.895971E-02  4.530225E+01
    11.4500    1.900171E-02  1.927595E-02  4.538421E+01
    11.5000    2.105331E-02  2.107245E-02  4.551047E+01
    11.5500    2.345673E-02  2.371297E-02  4.570024E+01
    11.6000    2.459545E-02  2.659842E-02  4.594365E+01
    11.6500    2.294737E-02  2.930430E-02  4.622430E+01
    11.7000    1.769581E-02  3.155657E-02  4.652858E+01
    11.7500    9.083681E-03  3.318671E-02  4.684664E+01
    11.8000   -1.613261E-03  3.410257E-02  4.717121E+01
    11.8500   -1.247683E-02  3.427361E-02  4.749649E+01
    11.9000   -2.155244E-02  3.372500E-02  4.781717E+01
    11.9500   -2.744838E-02  3.253750E-02  4.812783E+01
    12.0000   -2.971515E-02  3.085205E-02  4.842237E+01
    12.0500   -2.880720E-02  2.880750E-02  4.869018E+01
    12.1000   -2.602522E-02  2.674867E-02  4.892779E+01
    12.1500   -2.269892E-02  2.503714E-02  4.913030E+01
    12.2000   -1.977929E-02  2.406788E-02  4.930090E+01
    12.2500   -1.748733E-02  2.415107E-02  4.945578E+01
    12.3000   -1.526449E-02  2.536647E-02  4.961978E+01
    12.3500   -1.204134E-02  2.752794E-02  4.981275E+01
    12.4000   -6.726308E-03  3.029531E-02  5.004159E+01
    12.4500    1.262477E-03  3.330886E-02  5.030339E+01
    12.5000    1.161517E-02  3.625804E-02  5.059158E+01
    12.5500    2.304172E-02  3.889549E-02  5.089952E+01
    12.6000    3.352269E-02  4.103007E-02  5.122172E+01
    12.6500    4.083276E-02  4.251678E-02  5.155389E+01
    12.7000    4.318015E-02  4.324882E-02  5.189264E+01
    12.7500    3.976436E-02  4.315221E-02  5.223517E+01
    12.8000    3.107545E-02  4.218258E-02  5.257891E+01
    12.8500    1.883274E-02  4.032384E-02  5.292114E+01
    12.9000    5.566006E-03  3.758895E-02  5.325845E+01
    12.9500   -6.051923E-03  3.402420E-02  5.358590E+01
    13.0000   -1.393655E-02  2.972109E-02  5.389513E+01
    13.0500   -1.713625E-02  2.477395E-02  5.417092E+01
    13.1000   -1.618172E-02  1.958248E-02  5.437965E+01
    13.1500   -1.288770E-02  1.492152E-02  5.444964E+01
    13.2000   -9.807617E-03  1.260466E-02  5.429870E+01
    13.2500   -9.422838E-03  1.465566E-02  5.410542E+01
    13.3000   -1.329868E-02  2.014522E-02  5.412808E+01
    13.3500   -2.145840E-02  2.717321E-02  5.431738E+01
    13.4000   -3.218192E-02  3.476266E-02  5.459012E+01
    13.4500   -4.232765E-02  4.243826E-02  5.490566E+01
    13.5000   -4.812915E-02  4.990307E-02  5.524530E+01
    13.5500   -4.627257E-02  5.693005E-02  5.559973E+01
    13.6000   -3.496013E-02  6.332696E-02  5.596384E+01
    13.6500   -1.464293E-02  6.892542E-02  5.633459E+01
    13.7000    1.182185E-02  7.357870E-02  5.671004E+01
    13.7500    3.968253E-02  7.716285E-02  5.708882E+01
    13.8000    6.337466E-02  7.957930E-02  5.746994E+01
    13.8500    7.789815E-02  8.075764E-02  5.785256E+01
    13.9000    8.011173E-02  8.065835E-02  5.823595E+01
    13.9500    6.957234E-02  7.927481E-02  5.861941E+01
    14.0000    4.866752E-02  7.663468E-02  5.900218E+01
    14.0500    2.194973E-02  7.273813E-02  5.938372E+01
    14.1000   -4.934874E-03  6.774001E-02  5.976318E+01
    14.1500   -2.681013E-02  6.176996E-02  6.013922E+01
    14.2000   -4.019370E-02  5.498694E-02  6.051000E+01
    14.2500   -4.403258E-02  4.757642E-02  6.087265E+01
    14.3000   -3.971917E-02  3.974892E-02  6.122237E+01
    14.3500   -3.042633E-02  3.174383E-02  6.155017E+01
    14.4000   -2.000570E-02  2.385154E-02  6.183685E+01
    14.4500   -1.181224E-02  1.650495E-02  6.203426E+01
    14.5000   -7.814166E-03  1.067150E-02  6.201024E+01
    14.5500   -8.228015E-03  8.815605E-03  6.162823E+01
    14.6000   -1.172974E-02  1.183575E-02  6.139500E+01
    14.6500   -1.610300E-02  1.651109E-02  6.148385E+01
    14.7000   -1.906037E-02  2.112540E-02  6.170690E+01
    14.7500   -1.895019E-02  2.519867E-02  6.198071E+01
    14.8000   -1.514081E-02  2.860539E-02  6.227408E+01
    14.8500   -8.016483E-03  3.135440E-02  6.257331E+01
    14.9000    1.333107E-03  3.352778E-02  6.287162E+01
    14.9500    1.155140E-02  3.525341E-02  6.316569E+01
    15.0000    2.138981E-02  3.668231E-02  6.345440E+01
    15.0500    2.993257E-02  3.807036E-02  6.373656E+01
    15.1000    3.657530E-02  3.945242E-02  6.401838E+01
    15.1500    4.066021E-02  4.086436E-02  6.430265E+01
    15.2000    4.152281E-02  4.227768E-02  6.459190E+01
    15.2500    3.857215E-02  4.360584E-02  6.488789E+01
    15.3000    3.152108E-02  4.472130E-02  6.519126E+01
    15.3500    2.067210E-02  4.547738E-02  6.550157E+01
    15.4000    7.105771E-03  4.573013E-02  6.581743E+01
    15.4500   -7.367584E-03  4.535733E-02  6.613660E+01
    15.5000   -2.054721E-02  4.427448E-02  6.645605E+01
    15.5500   -3.040073E-02  4.244894E-02  6.677175E+01
    15.6000   -3.565966E-02  3.991455E-02  6.707830E+01
    15.6500   -3.622257E-02  3.679065E-02  6.736828E+01
    15.7000   -3.318421E-02  3.331068E-02  6.763141E+01
    15.7500   -2.843861E-02  2.986446E-02  6.785450E+01
