# Pd                                           Feff8L (EXAFS)       0.1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
# Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
# Gam_ch=7.677E+00 H-L exch
# Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7699
#           2       0.00000     19.01      6.00     2   3.9173
#           3       0.00000      8.43     48.00     3   4.1549
#           4       0.00000      5.18     48.00     3   4.7286
#           5       0.00000     40.02     24.00     2   4.7977
#     5/   5 paths used
#  xsedge+50, used to normalize mu           8.2983E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   24826.758    452.689  10.900  9.24117E-01  9.84071E-01 -6.05098E-02
   24830.920    456.852  10.950  9.08253E-01  9.83665E-01 -7.61434E-02
   24835.102    461.033  11.000  9.00959E-01  9.83260E-01 -8.31337E-02
   24839.302    465.234  11.050  9.02647E-01  9.82865E-01 -8.10633E-02
   24843.522    469.453  11.100  9.12358E-01  9.82469E-01 -7.08791E-02
   24847.760    473.692  11.150  9.28093E-01  9.82074E-01 -5.45946E-02
   24852.018    477.949  11.200  9.47190E-01  9.81679E-01 -3.48956E-02
   24856.295    482.226  11.250  9.66806E-01  9.81283E-01 -1.46546E-02
   24860.591    486.522  11.300  9.84398E-01  9.80888E-01  3.55471E-03
   24864.905    490.837  11.350  9.98118E-01  9.80493E-01  1.78555E-02
   24869.239    495.171  11.400  1.00704E+00  9.80098E-01  2.73086E-02
   24873.592    499.523  11.450  1.01122E+00  9.79702E-01  3.19599E-02
   24877.964    503.895  11.500  1.01154E+00  9.79307E-01  3.26976E-02
   24882.355    508.286  11.550  1.00942E+00  9.78912E-01  3.09571E-02
   24886.765    512.696  11.600  1.00643E+00  9.78516E-01  2.83415E-02
   24891.194    517.126  11.650  1.00396E+00  9.78121E-01  2.62392E-02
   24895.642    521.574  11.700  1.00284E+00  9.77726E-01  2.55151E-02
   24900.110    526.041  11.750  1.00324E+00  9.77331E-01  2.63384E-02
   24904.596    530.527  11.800  1.00464E+00  9.76935E-01  2.81760E-02
