# Pd                                           Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
# Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
# Gam_ch=7.677E+00 H-L exch
# Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7699
#           2       0.00000     19.01      6.00     2   3.9173
#           3       0.00000      8.43     48.00     3   4.1549
#           4       0.00000      5.18     48.00     3   4.7286
#           5       0.00000     40.02     24.00     2   4.7977
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    11.1000   -7.087912E-02  7.812628E-02  4.912881E+01
    11.1500   -5.459463E-02  7.402512E-02  4.943610E+01
    11.2000   -3.489557E-02  6.944716E-02  4.973902E+01
    11.2500   -1.465460E-02  6.446747E-02  5.003616E+01
    11.3000    3.554705E-03  5.917338E-02  5.032559E+01
    11.3500    1.785552E-02  5.366786E-02  5.060465E+01
    11.4000    2.730861E-02  4.807546E-02  5.086960E+01
    11.4500    3.195995E-02  4.255232E-02  5.111517E+01
    11.5000    3.269763E-02  3.730221E-02  5.133415E+01
    11.5500    3.095705E-02  3.259860E-02  5.151758E+01
    11.6000    2.834150E-02  2.880185E-02  5.165725E+01
    11.6500    2.623916E-02  2.633016E-02  5.175312E+01
    11.7000    2.551507E-02  2.551720E-02  5.182336E+01
    11.7500    2.633838E-02  2.639504E-02  5.190181E+01
    11.8000    2.817596E-02  2.864124E-02  5.201677E+01
    11.8500    2.994805E-02  3.177381E-02  5.217693E+01
    11.9000    3.030866E-02  3.535406E-02  5.237709E+01
    11.9500    2.798820E-02  3.905541E-02  5.260812E+01
    12.0000    2.212416E-02  4.265093E-02  5.286171E+01
    12.0500    1.240903E-02  4.599015E-02  5.313387E+01
    12.1000   -5.116597E-04  4.895006E-02  5.341753E+01
    12.1500   -1.532248E-02  5.145486E-02  5.370945E+01
    12.2000   -3.018926E-02  5.345125E-02  5.400727E+01
    12.2500   -4.307992E-02  5.490306E-02  5.430921E+01
    12.3000   -5.213332E-02  5.578800E-02  5.461390E+01
    12.3500   -5.600235E-02  5.609571E-02  5.492017E+01
    12.4000   -5.410296E-02  5.582655E-02  5.522701E+01
    12.4500   -4.672030E-02  5.499090E-02  5.553344E+01
    12.5000   -3.495214E-02  5.360878E-02  5.583847E+01
    12.5500   -2.050244E-02  5.170994E-02  5.614098E+01
    12.6000   -5.367639E-03  4.933421E-02  5.643965E+01
    12.6500    8.521078E-03  4.653253E-02  5.673283E+01
    12.7000    1.962852E-02  4.336888E-02  5.701834E+01
    12.7500    2.705500E-02  3.992366E-02  5.729325E+01
    12.8000    3.064004E-02  3.629954E-02  5.755353E+01
    12.8500    3.091412E-02  3.263113E-02  5.779362E+01
    12.9000    2.891350E-02  2.909992E-02  5.800621E+01
    12.9500    2.590103E-02  2.595320E-02  5.818288E+01
    13.0000    2.305434E-02  2.351395E-02  5.831750E+01
    13.0500    2.121864E-02  2.217506E-02  5.841423E+01
    13.1000    2.063676E-02  2.218341E-02  5.849509E+01
    13.1500    2.096263E-02  2.354322E-02  5.859206E+01
    13.2000    2.134121E-02  2.599806E-02  5.872732E+01
    13.2500    2.063021E-02  2.919036E-02  5.890537E+01
    13.3000    1.769864E-02  3.279748E-02  5.912026E+01
    13.3500    1.173745E-02  3.657338E-02  5.936355E+01
    13.4000    2.514236E-03  4.033950E-02  5.962789E+01
    13.4500   -9.485580E-03  4.396556E-02  5.990772E+01
    13.5000   -2.306579E-02  4.735426E-02  6.019902E+01
    13.5500   -3.647934E-02  5.043111E-02  6.049890E+01
    13.6000   -4.771446E-02  5.313823E-02  6.080531E+01
    13.6500   -5.485402E-02  5.543052E-02  6.111671E+01
    13.7000   -5.643895E-02  5.727337E-02  6.143196E+01
    13.7500   -5.176455E-02  5.864118E-02  6.175020E+01
    13.8000   -4.105017E-02  5.951642E-02  6.207074E+01
    13.8500   -2.544646E-02  5.988896E-02  6.239301E+01
    13.9000   -6.875408E-03  5.975563E-02  6.271654E+01
    13.9500    1.226982E-02  5.911978E-02  6.304091E+01
    14.0000    2.951098E-02  5.799095E-02  6.336575E+01
    14.0500    4.277999E-02  5.643036E-02  6.369225E+01
    14.1000    5.044163E-02  5.440900E-02  6.401841E+01
    14.1500    5.186213E-02  5.195218E-02  6.434376E+01
    14.2000    4.737486E-02  4.909023E-02  6.466779E+01
    14.2500    3.817819E-02  4.585838E-02  6.498980E+01
    14.3000    2.608460E-02  4.229665E-02  6.530889E+01
    14.3500    1.317157E-02  3.845000E-02  6.562380E+01
    14.4000    1.402274E-03  3.436895E-02  6.593263E+01
    14.4500   -7.711765E-03  3.011116E-02  6.623244E+01
    14.5000   -1.334421E-02  2.574516E-02  6.651833E+01
    14.5500   -1.544315E-02  2.135901E-02  6.678162E+01
    14.6000   -1.466500E-02  1.708201E-02  6.700579E+01
    14.6500   -1.217262E-02  1.314185E-02  6.715778E+01
    14.7000   -9.343075E-03  1.001095E-02  6.717690E+01
    14.7500   -7.447116E-03  8.588158E-03  6.702287E+01
    14.8000   -7.366188E-03  9.539050E-03  6.685576E+01
    14.8500   -9.403364E-03  1.216577E-02  6.685690E+01
    14.9000   -1.322436E-02  1.547542E-02  6.699811E+01
    14.9500   -1.793760E-02  1.894783E-02  6.721623E+01
    15.0000   -2.229409E-02  2.234652E-02  6.747572E+01
    15.0500   -2.496211E-02  2.555795E-02  6.776060E+01
    15.1000   -2.480330E-02  2.850636E-02  6.805964E+01
